timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1681032633266,50,Płatność-2,301,Moved Permanently,Stress test 1-36,text,true,,1465,127,46,46,https://www.policzona-szama.pl/,50,0,0
1681032633316,96,Płatność-3,200,OK,Stress test 1-36,text,true,,407779,123,46,46,https://policzona-szama.pl/,51,0,0
1681032633039,425,Płatność,200,OK,Stress test 1-37,text,true,,419495,601,45,45,https://policzona-szama.pl/,147,0,0
1681032633039,147,Płatność-0,302,Found,Stress test 1-37,text,true,,5651,179,45,45,http://www.policzona-szama.pl/checkouts/c/51608f50db182e906ccf333cf2366e89/payment,147,0,0
1681032633186,130,Płatność-1,302,Found,Stress test 1-37,text,true,,4597,172,45,45,http://www.policzona-szama.pl/checkouts/sh/16158046ac2a3e0d0f5b32ab2cca61db,130,0,0
1681032633316,49,Płatność-2,301,Moved Permanently,Stress test 1-37,text,true,,1461,127,45,45,https://www.policzona-szama.pl/,49,0,0
1681032633365,99,Płatność-3,200,OK,Stress test 1-37,text,true,,407786,123,45,45,https://policzona-szama.pl/,58,0,0
1681032633429,506,Metody wysyłki,200,OK,Stress test 1-64,text,true,,419526,602,44,44,https://policzona-szama.pl/,218,0,66
1681032633429,218,Metody wysyłki-0,302,Found,Stress test 1-64,text,true,,5657,180,44,44,http://www.policzona-szama.pl/checkouts/c/51608f50db182e906ccf333cf2366e89/shipping,218,0,66
1681032633647,140,Metody wysyłki-1,302,Found,Stress test 1-64,text,true,,4599,172,44,44,http://www.policzona-szama.pl/checkouts/sh/a558243b78f71a4237c3d01425b2c099,140,0,0
1681032633787,53,Metody wysyłki-2,301,Moved Permanently,Stress test 1-64,text,true,,1465,127,44,44,https://www.policzona-szama.pl/,53,0,0
1681032633840,95,Metody wysyłki-3,200,OK,Stress test 1-64,text,true,,407805,123,44,44,https://policzona-szama.pl/,52,0,0
1681032635041,292,Trzecia patelnia,200,OK,Stress test 1-25,text,true,,277573,400,44,44,https://policzona-szama.pl/collections/patelnie/products/patelnia-ze-stali-nierdzewnej-28-cm-grube-dno,114,0,0
